Date,Close,High,Low,Open,Volume,Daily_Return,Sentiment,Sentiment_Score,Headlines_Count,News_Article,Next_Day_Return,Sentiment_Numeric
2020-01-02,28.68400001525879,28.71333312988281,28.11400032043457,28.299999237060547,142981500,,Positive,0.2,5,Tesla AI Revolution: How TSLA is Shaping the Future of Stock Market Trading – Market - HPBL | Tesla (TSLA) stock gets higher price target from Stifel - TESLARATI | I Still Can’t Get My Head Around Tesla Stock’s (TSLA) Valuation - TipRanks | Tesla (TSLA) Stock: Morgan Stanley Projects $800 Bull Case Based on Robotaxi Future - MoneyCheck | Зміна сили на ринку? Що сигналізують премаркетні дані TSLA! - La Noticia Digital,0.0296332582979208,1.0
2020-01-03,29.53400039672852,30.26666641235352,29.12800025939941,29.36666679382324,266677500,0.0296332582979208,Positive,0.2,5,"Tesla (TSLA) Stock Dips Amid First Sales Decline in Over a Decade - GuruFocus.com | Tesla Record Deliveries Expected. This Is Why It Probably Doesn't Matter For TSLA. - Investor's Business Daily | Brendel Financial Advisors LLC Reduces Stock Holdings in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat | AAPL, RIVN, UNH, BMRA, TSLA: Top 5 Trending Stocks Today - Apple (NASDAQ:AAPL), Biomerica (NASDAQ:BMRA) - Benzinga | TSLA, AMZN and GOOGL Forecasts – Major Stocks Look to Move Higher in Premarket - FX Empire",0.0192546370451349,1.0
2020-01-06,30.1026668548584,30.10400009155273,29.333332061767575,29.36466789245605,151995000,0.0192546370451349,Neutral,0.0,5,"Why Tesla (TSLA) Stock Is Down Today - Yahoo Finance | Зміна сили на ринку? Що сигналізують премаркетні дані TSLA! - La Noticia Digital | 7 Ways To Invest In Tesla Beyond Buying TSLA Stock: January 2025 Edition - Forbes | Tesla, Inc. (NASDAQ:TSLA) Stock Position Lifted by BluePath Capital Management LLC - MarketBeat | Tesla (TSLA) Stock Surges on Strong Model Y Demand in China and Morgan Stanley's Bullish Outlook - MoneyCheck",0.0388005246581539,0.5
2020-01-07,31.270666122436523,31.441999435424805,30.224000930786133,30.76000022888184,268231500,0.0388005246581539,Positive,0.2,5,"Tesla AI Revolution: How TSLA is Shaping the Future of Stock Market Trading – Market - HPBL | Tesla Stock (TSLA) Loses Gains amid EV Sales Surge and Musk TikTok Buyout Rumors - TipRanks | Tesla (NASDAQ:TSLA) Stock Price Expected to Rise, Morgan Stanley Analyst Says - MarketBeat | Tesla (TSLA) Stock: Morgan Stanley Projects $800 Bull Case Based on Robotaxi Future - MoneyCheck | Tesla Record Deliveries Expected. This Is Why It Probably Doesn't Matter For TSLA. - Investor's Business Daily",0.0492048257881216,1.0
2020-01-08,32.80933380126953,33.232666015625,31.215333938598636,31.57999992370605,467164500,0.0492048257881216,Negative,-0.2,5,"Tesla AI Revolution: How TSLA is Shaping the Future of Stock Market Trading – Market - HPBL | AAPL, RIVN, UNH, BMRA, TSLA: Top 5 Trending Stocks Today - Apple (NASDAQ:AAPL), Biomerica (NASDAQ:BMRA) - Benzinga | I Still Can’t Get My Head Around Tesla Stock’s (TSLA) Valuation - TipRanks | A Short on TSLA Stock - ForexLive | Why Tesla (TSLA) Stock Is Down Today - Yahoo Finance",-0.0219450119000973,0.0
2020-01-09,32.089332580566406,33.25333404541016,31.524667739868164,33.13999938964844,426606000,-0.0219450119000973,Neutral,0.0,5,"Tesla (TSLA) Stock Sinks on Q4 Deliveries Miss - Yahoo Finance | TSLA, AMZN and GOOGL Forecasts – Major Stocks Look to Move Higher in Premarket - FX Empire | Зміна сили на ринку? Що сигналізують премаркетні дані TSLA! - La Noticia Digital | Tesla (TSLA) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance | A Short on TSLA Stock - ForexLive",-0.0066272976331742,0.5
2020-01-10,31.87666702270508,32.3293342590332,31.57999992370605,32.11933135986328,194392500,-0.0066272976331742,Positive,0.2,5,"Why TSLA Is Climbing Today - Yahoo Finance | Tesla (TSLA) Stock: Morgan Stanley Projects $800 Bull Case Based on Robotaxi Future - MoneyCheck | Is Tesla Inc. (TSLA) the Best NASDAQ Stock to Buy in 2025? - Yahoo Finance | NVDA, TSLA and MSTR Forecast – Major Tech Stocks Look for Higher Pricing - FX Empire | Brendel Financial Advisors LLC Reduces Stock Holdings in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",0.0976889588509333,1.0
2020-01-13,34.990665435791016,35.04199981689453,32.79999923706055,32.900001525878906,397764000,0.0976889588509333,Neutral,0.0,5,"Brendel Financial Advisors LLC Reduces Stock Holdings in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat | A Short on TSLA Stock - ForexLive | Tesla (TSLA) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance | I Still Can’t Get My Head Around Tesla Stock’s (TSLA) Valuation - TipRanks | Tesla (TSLA) stock rounding bottom pattern breakout: Watch this pivot before the earnings [Video] - FXStreet",0.0248828221202008,0.5
2020-01-14,35.861331939697266,36.49399948120117,34.99333190917969,36.28400039672852,434943000,0.0248828221202008,Negative,-0.4,5,"Tesla, Inc. (NASDAQ:TSLA) Stock Position Lifted by BluePath Capital Management LLC - MarketBeat | Tesla's Drop Against Modestly Lower Nasdaq Comes As Investors Weigh Elon Musk's $40-50 Billion TikTok Deal, Gary Black Says TSLA Share Swap Unlikely Due To This Upcoming Milestone - Microsoft (NASDAQ:MSFT), Oracle (NYSE:ORCL) - Benzinga | Tesla (TSLA) Stock Dips Amid First Sales Decline in Over a Decade - GuruFocus.com | Why TSLA Is Climbing Today - Yahoo Finance | I Still Can’t Get My Head Around Tesla Stock’s (TSLA) Valuation - TipRanks",-0.0361020135130578,0.0
2020-01-15,34.56666564941406,35.85599899291992,34.452667236328125,35.31733322143555,260532000,-0.0361020135130578,Positive,0.2,5,"Tesla (TSLA) stock gets higher price target from Stifel - TESLARATI | Tesla (TSLA) Stock Dips Amid First Sales Decline in Over a Decade - GuruFocus.com | TSLA, AMZN and GOOGL Forecasts – Major Stocks Look to Move Higher in Premarket - FX Empire | A Short on TSLA Stock - ForexLive | Зміна сили на ринку? Що сигналізують премаркетні дані TSLA! - La Noticia Digital",-0.0096624776360147,1.0
2020-01-16,34.232666015625,34.297332763671875,32.81133270263672,32.91666793823242,326050500,-0.0096624776360147,Neutral,0.0,5,"Tesla (TSLA) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance | 7 Ways To Invest In Tesla Beyond Buying TSLA Stock: January 2025 Edition - Forbes | Tesla (TSLA) Stock: Morgan Stanley Projects $800 Bull Case Based on Robotaxi Future - MoneyCheck | I Still Can’t Get My Head Around Tesla Stock’s (TSLA) Valuation - TipRanks | AAPL, RIVN, UNH, BMRA, TSLA: Top 5 Trending Stocks Today - Apple (NASDAQ:AAPL), Biomerica (NASDAQ:BMRA) - Benzinga",-0.0058228941569139,0.5
2020-01-17,34.03333282470703,34.37799835205078,33.54399871826172,33.840667724609375,204436500,-0.0058228941569139,Neutral,0.0,5,7 Ways To Invest In Tesla Beyond Buying TSLA Stock: January 2025 Edition - Forbes | Tesla AI Revolution: How TSLA is Shaping the Future of Stock Market Trading – Market - HPBL | Tesla (TSLA) stock rounding bottom pattern breakout: Watch this pivot before the earnings [Video] - FXStreet | Is Tesla Inc. (TSLA) the Best NASDAQ Stock to Buy in 2025? - Yahoo Finance | Tesla Stock (TSLA) Loses Gains amid EV Sales Surge and Musk TikTok Buyout Rumors - TipRanks,0.0718903061927893,0.5
2020-01-21,36.47999954223633,36.571998596191406,35.227333068847656,35.349998474121094,267052500,0.0718903061927893,Positive,0.2,5,"Tesla (TSLA) stock rounding bottom pattern breakout: Watch this pivot before the earnings [Video] - FXStreet | Tesla (TSLA) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance | Tesla (NASDAQ:TSLA) Stock Price Expected to Rise, Morgan Stanley Analyst Says - MarketBeat | Зміна сили на ринку? Що сигналізують премаркетні дані TSLA! - La Noticia Digital | A Short on TSLA Stock - ForexLive",0.0408626444406172,1.0
2020-01-22,37.97066879272461,39.633331298828125,37.27333450317383,38.1259994506836,470535000,0.0408626444406172,Neutral,0.0,5,"Tesla (TSLA) Stock Slides on New Probe, Downgrade - Yahoo Finance | Tesla, Inc. (NASDAQ:TSLA) Stock Position Lifted by BluePath Capital Management LLC - MarketBeat | 7 Ways To Invest In Tesla Beyond Buying TSLA Stock: January 2025 Edition - Forbes | TSLA, MSTR and NVDA Forecast – Major US Stocks React to Jobs Number - FX Empire | I Still Can’t Get My Head Around Tesla Stock’s (TSLA) Valuation - TipRanks",0.004635122144013,0.5
